domain,blocked
*.norzil.vercel.app,1
stevens.edu,0
*.sognfr.firebaseapp.com,1
paragon-software.com,0
gettyimages.com,0
*.nkhimunpractica.org,1
*.citywidepropertyrepairs.com,1
hianime.tv,0
*.daybag.ru,1
*.finanzenchecken24.de,1
*.server6.cdneurops.health,1
wiz.biz,0
freeip.com,0
*.alemelektronik.com,1
*.aureofundex.com,1
*.spectrumadmin.weebly.com,1
borwap.pro,0
*.tk9998.com,1
*.cindykubica.com,1
newscdn.com.au,0
*.infoistraf.pro,1
*.bt-broadband-5.qtandard.com,1
*.francetravailparis.fr,1
bancsabadell.com,0
*.wiltaustaug.com,1
abir.ga,0
pearsonvue.com,0
vskit.tv,0
ams360.com,0
*.tydafee.com,1
*.ee-account-security.web.app,1
google.ch,0
accenture.com,0
versus.com,0
hextom.com,0
*.aefofhhfouahugr.ws,1
*.onaszuka.pl,1
*.discord.ru.net,1
edge-retina.net,0
*.fexoriumpro.com,1
laprensagrafica.com,0
*.123459.vip,1
*.acnestargel.com,1
webtoons.com,0
*.svolumetal.pro,1
*.xyrelia-consl.site,1
*.quantum-prime-profit.net,1
gmfkisvimx.net,0
*.reload.hotscopes.org,1
*.joerg-gils.de,1
*.masimuddin.com,1
vivacut.com,0
*.login-bulbank.firebaseapp.com,1
estranky.cz,0
lakeheadu.ca,0
local12.com,0
*.see-x-o.re,1
aaxads.com,0
gaggle.services,0
javdock.com,0
stiripesurse.ro,0
*.wiziftonyq.web.app,1
statestreet.com,0
madrid.org,0
theblowers.com,0
*.frombcoper.pro,1
roadtrippers.com,0
tour-of-britain.com,0
southwestwifi.com,0
mobileposse.com,0
*.smetrics.statefarm.com,1
*.ads.fetnet.net,1
*.smart-tv.cn,1
*.plmojhefer.com,1
*.metabussiness-help-centers.pages.dev,1
hivebedrock.network,0
*.konflow.com,1
*.oshastairs.com,1
orizzontescuola.it,0
zeno.fm,0
ritzcarlton.com,0
*.advert.punyu.com,1
*.furrygoat.pro,1
ntv.io,0
pangkalantotoo.com,0
*.refinedringtail.pro,1
shopee.com.mx,0
*.billiappun.pro,1
hashnode.dev,0
tendplatform.com,0
turbopages.org,0
*.blasmbiada.pro,1
*.pub-4b6dd95b0b58482ea6e2bf4bed17d20a.r2.dev,1
hpconnected.com,0
*.jubilantcanyon.com,1
fahrrad-xxl.de,0
*.times.windowstimes.online,1
*.stats.privacytools.io,1
hackerwatch.org,0
*.eenam.com,1
*.tynovivorne.com,1
*.m.wlphelp.top,1
*.utt.impactcdn.com,1
appnext.com,0
*.xn--schalke04-zrich-9vb.ch,1
ae.com,0
desire2learn.com,0
phillymag.com,0
*.ummundodeofertas.com.br,1
rivegauche.ru,0
skytigris.cn,0
chaturbate.com,0
*.on-allow.gl.at.ply.gg,1
*.pl112policjapl.shop,1
econlib.org,0
inucn.com,0
*.kyrubua.shop,1
pub.ro,0
*.webmail-invoice-view.weebly.com,1
cbo.gov,0
24smi.info,0
mesrs.dz,0
miraheze.org,0
zvab.com,0
justtrack.io,0
*.rencessedessations.com,1
balena.io,0
*.newiframe.biz,1
*.odontsugge.pro,1
*.thicknyala.pro,1
evtrust.com,0
*.shbzokj.cn,1
*.trade20darex.net,1
whitehouse.gov,0
*.incigspunt.pro,1
abs.gov.au,0
sliwercohue.top,0
skyperfectv.co.jp,0
*.telegukcsr.top,1
*.enchantingtundra.com,1
*.signcentral-vault-33ce0aff08dc.herokuapp.com,1
utraff.com,0
*.z.tudouxy01.com,1
*.downlogram.com,1
gyazo.com,0
*.secure.kpr2exp21.com,1
flawless-warfare.com,0
*.default27061330-a.akamaihd.net,1
hostiservices.com,0
*.charmingtwist.pro,1
unu.im,0
keywordseverywhere.com,0
*.unripewar.com,1
*.green4762.com,1
capcom.co.jp,0
*.pl827236739.shop,1
*.ecwuser.com,1
deckshop.pro,0
*.hdmoviespot.com,1
*.xweblaxbwsinuji.com,1
bmz.de,0
*.vpbank.appvest.vn,1
tk0x1.com,0
forbesjapan.com,0
*.baster.info,1
*.jbsmediaventures.com,1
*.popcent.org,1
*.xml.masterfr-bid.com,1
evidation.com,0
scalefusion.com,0
buffalowildwings.com,0
*.hungergame.com,1
*.alfa-omega-pty.com,1
*.xyly2016.com,1
aub.edu.lb,0
*.tjornbron.com,1
*.thomasalthoughhear.com,1
kunvertads.com,0
*.adspy.javrank.com,1
cabi.org,0
*.ws18.surf-town.net,1
utilitydive.com,0
*.wildhorses.awardspace.info,1
*.lqgenuq-j.life,1
cafelog.com,0
preyproject.com,0
microsoftonline-p.net,0
rayjump.com,0
*.kapitalonixproapp.com,1
pdfexpert.com,0
lowes.com,0
shacknews.com,0
*.serverupdateauthorization01.weebly.com,1
*.hqdlh.cn,1
utorria.ru,0
uwhealth.org,0
sonymusic.com,0
*.truthcoin.social,1
applebees.com,0
sp0n.io,0
dip.jp,0
xvideo.blog,0
*.v9banners-com.cdn.ampproject.org,1
towbook.com,0
awsdns-57.com,0
*.aerosatemeers.rest,1
websitesource.com,0
musixmatch.com,0
spaceweather.com,0
*.stuntoffer.com,1
*.rrxgoi.com,1
shop-pro.jp,0
*.susmailrectificationforms.weebly.com,1
base.shop,0
tes.com,0
*.analytics.chase.com,1
sservs.com,0
*.soul-of-compass.com,1
fantasticfiction.com,0
*.scorrsubap.pro,1
*.orvexistrader57gain.com,1
*.beachbreak.com,1
bell-labs.com,0
therapyappointment.com,0
*.amazingvacationhotels.com,1
*.companiondirectly.com,1
thinkdifferent.us,0
leatherman.com,0
*.personalfinanceiro.com.de,1
zula.ir,0
*.wanver.click,1
*.3a1.ru,1
affinity.net,0
*.fresh-video.com,1
utulsa.edu,0
kaiserpermanente.org,0
saffire.com,0
*.allegrolokalnie.plls4lcjrloda71gjk.shop,1
*.thomashobbs.com,1
*.myfood.ltd,1
netbk.co.jp,0
thewrap.com,0
thomsonreuters.com,0
adcolony.com,0
*.5l0.net,1
indexmundi.com,0
*.informalsection.com,1
api-taboola.com,0
*.outworesables.world,1
